"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"22","50","40","0","31.419705197827774"
"17","50","40","5","2.637528259231349"
"16","50","40","13","0"
"19","50","40","2","11.928737412858249"
"23","50","40","1","18.238021638330757"
"17","50","40","6","1.4318010550113038"
"18","50","40","3","5.7591623036649215"
"20","50","40","2","9.355345911949685"
"21","50","40","2","10.371517027863778"
"22","50","40","1","16.91233514352211"
"19","50","40","3","7.900852052672347"
"20","50","40","3","7.0754716981132075"
"23","50","40","2","12.364760432766616"
"24","50","40","0","34.01053423626787"
"17","50","40","7","0.7535795026375283"
"18","50","40","4","3.5153328347045627"
"22","50","40","2","12.179984484096199"
"21","50","40","3","6.191950464396285"
"19","50","40","4","4.802478698683191"
"23","50","40","3","8.268933539412673"
"17","50","40","8","0.6028636021100227"
"20","50","40","4","4.638364779874213"
"24","50","40","1","19.337848006019563"
"18","50","40","5","2.094240837696335"
"19","50","40","5","2.943454686289698"
"22","50","40","3","8.068269976726144"
"21","50","40","4","4.024767801857585"
"17","50","40","9","0.22607385079125847"
"20","50","40","5","2.908805031446541"
"18","50","40","6","2.318623784592371"
"24","50","40","2","12.039127163280662"
"19","50","40","6","1.549186676994578"
"23","50","40","4","5.332302936630603"
"22","50","40","4","5.430566330488751"
"17","50","40","10","0.15071590052750566"
"20","50","40","6","1.650943396226415"
"21","50","40","5","2.3993808049535605"
"18","50","40","7","1.1219147344801794"
"24","50","40","3","7.750188111361926"
"23","50","40","5","2.7820710973724885"
"19","50","40","7","0.69713400464756"
"22","50","40","5","2.7152831652443754"
"20","50","40","7","0.8647798742138365"
"21","50","40","6","2.1671826625387"
"17","50","40","11","0.15071590052750566"
"18","50","40","8","0.8227374719521316"
"24","50","40","4","4.740406320541761"
"23","50","40","6","1.6228748068006182"
"19","50","40","8","0.3872966692486445"
"20","50","40","8","0.628930817610063"
"21","50","40","7","0.696594427244582"
"22","50","40","6","1.7843289371605897"
"18","50","40","9","0.44876589379207177"
"17","50","40","12","0.07535795026375283"
"24","50","40","5","3.0850263355906695"
"23","50","40","7","1.0819165378670788"
"20","50","40","9","0.2358490566037736"
"19","50","40","9","0.0774593338497289"
"21","50","40","8","0.30959752321981426"
"18","50","40","10","0.22438294689603588"
"22","50","40","7","1.0861132660977502"
"17","50","40","13","0.07535795026375283"
