"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment"
"01/20/2026 20:37:47:932 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","initial-number-sheep","initial-number-wolves","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","grass_remaining"
"6","50","50","4","4","40","48","156.70895809304113"
"5","50","50","4","4","40","52","159.7846981930027"
"3","50","50","4","4","40","52","157.17031910803536"
"2","50","50","4","4","40","48","146.02076124567475"
"6","50","50","4","4","40","49","156.0169165705498"
"4","50","50","4","4","40","49","150.8650519031142"
"7","50","50","4","4","40","51","141.25336409073432"
"5","50","50","4","4","40","53","159.24644367550943"
"6","50","50","4","4","40","50","155.32487504805843"
"5","50","50","4","4","40","54","158.78508266051517"
"2","50","50","4","4","40","49","145.17493271818532"
"1","50","50","4","4","40","4","103.9600153787005"
"7","50","50","4","4","40","52","139.5617070357555"
"6","50","50","4","4","40","51","154.70972702806614"
"4","50","50","4","4","40","50","149.25028835063438"
"3","50","50","4","4","40","53","156.55517108804307"
"5","50","50","4","4","40","55","158.16993464052288"
"2","50","50","4","4","40","50","144.7135717031911"
"4","50","50","4","4","40","51","147.78931180315263"
"7","50","50","4","4","40","53","138.71587850826606"
"6","50","50","4","4","40","52","154.09457900807382"
"5","50","50","4","4","40","56","157.86236063052672"
"3","50","50","4","4","40","54","155.2479815455594"
"2","50","50","4","4","40","51","143.94463667820068"
"4","50","50","4","4","40","52","146.71280276816609"
"7","50","50","4","4","40","54","137.87004998077663"
"6","50","50","4","4","40","53","152.94117647058823"
"4","50","50","4","4","40","53","145.48250672818148"
"7","50","50","4","4","40","55","136.87043444828913"
"3","50","50","4","4","40","55","154.2483660130719"
"2","50","50","4","4","40","52","143.4063821607074"
"5","50","50","4","4","40","57","157.17031910803536"
"6","50","50","4","4","40","54","152.17224144559785"
"4","50","50","4","4","40","54","144.7135717031911"
"7","50","50","4","4","40","56","136.33217993079586"
"2","50","50","4","4","40","53","142.560553633218"
"3","50","50","4","4","40","56","152.94117647058823"
"5","50","50","4","4","40","58","155.94002306805075"
"4","50","50","4","4","40","55","143.86774317570166"
"6","50","50","4","4","40","55","150.94194540561324"
"7","50","50","4","4","40","57","136.56286043829297"
"3","50","50","4","4","40","57","152.17224144559785"
"5","50","50","4","4","40","59","155.32487504805843"
"4","50","50","4","4","40","56","142.94502114571318"
"2","50","50","4","4","40","54","141.86851211072664"
"6","50","50","4","4","40","56","150.55747789311803"
"3","50","50","4","4","40","58","151.17262591311035"
"4","50","50","4","4","40","57","141.71472510572858"
"5","50","50","4","4","40","60","154.78662053056516"
"2","50","50","4","4","40","55","141.25336409073432"
"7","50","50","4","4","40","58","135.25567089580932"
"3","50","50","4","4","40","59","150.32679738562092"
"2","50","50","4","4","40","56","140.71510957324105"
"6","50","50","4","4","40","57","149.86543637062667"
"4","50","50","4","4","40","58","140.48442906574394"
"5","50","50","4","4","40","61","153.71011149557862"
"4","50","50","4","4","40","59","139.17723952326028"
"3","50","50","4","4","40","60","149.01960784313727"
"5","50","50","4","4","40","62","152.55670895809305"
"2","50","50","4","4","40","57","139.6386005382545"
"7","50","50","4","4","40","59","133.79469434832757"
"6","50","50","4","4","40","58","149.25028835063438"
"6","50","50","4","4","40","59","148.0968858131488"
"3","50","50","4","4","40","61","148.01999231064974"
"4","50","50","4","4","40","60","138.33141099577085"
"2","50","50","4","4","40","58","139.33102652825835"
"7","50","50","4","4","40","60","132.56439830834296"
"4","50","50","4","4","40","61","137.33179546328336"
"6","50","50","4","4","40","60","147.25105728565936"
"3","50","50","4","4","40","62","147.02037677816224"
"7","50","50","4","4","40","61","131.4878892733564"
"2","50","50","4","4","40","59","138.56209150326796"
"6","50","50","4","4","40","61","146.40522875816993"
"4","50","50","4","4","40","62","137.33179546328336"
"3","50","50","4","4","40","63","146.25144175317186"
"2","50","50","4","4","40","60","137.4086889657824"
"7","50","50","4","4","40","62","130.25759323337178"
"6","50","50","4","4","40","62","145.40561322568243"
"4","50","50","4","4","40","63","136.40907343329488"
"3","50","50","4","4","40","64","145.32871972318338"
"2","50","50","4","4","40","61","136.48596693579393"
"7","50","50","4","4","40","63","129.79623221837755"
"3","50","50","4","4","40","65","144.25221068819684"
"6","50","50","4","4","40","63","144.09842368319877"
"2","50","50","4","4","40","62","135.71703191080354"
"4","50","50","4","4","40","64","135.25567089580932"
"7","50","50","4","4","40","64","129.1041906958862"
"3","50","50","4","4","40","66","143.48327566320646"
"2","50","50","4","4","40","63","134.4867358708189"
"6","50","50","4","4","40","64","142.1760861207228"
"4","50","50","4","4","40","65","134.79430988081506"
"1","50","50","4","4","40","5","104.88273740868897"
"2","50","50","4","4","40","64","132.4875048058439"
"7","50","50","4","4","40","65","128.3352556708958"
"3","50","50","4","4","40","67","142.86812764321414"
"6","50","50","4","4","40","65","141.1764705882353"
"4","50","50","4","4","40","66","133.94848135332563"
"2","50","50","4","4","40","65","131.8723567858516"
"6","50","50","4","4","40","66","140.56132256824299"
"7","50","50","4","4","40","66","127.10495963091118"
"4","50","50","4","4","40","67","132.64129181084198"
"3","50","50","4","4","40","68","141.25336409073432"
"2","50","50","4","4","40","66","130.64206074586698"
"6","50","50","4","4","40","67","139.25413302575933"
"7","50","50","4","4","40","67","126.41291810841984"
"4","50","50","4","4","40","68","131.71856978085353"
"3","50","50","4","4","40","69","140.09996155324876"
"2","50","50","4","4","40","67","129.4886582083814"
"6","50","50","4","4","40","68","138.48519800076895"
"7","50","50","4","4","40","68","125.87466359092657"
"4","50","50","4","4","40","69","131.33410226835832"
"2","50","50","4","4","40","68","128.719723183391"
"3","50","50","4","4","40","70","139.02345251826222"
"7","50","50","4","4","40","69","125.25951557093425"
"6","50","50","4","4","40","69","137.4086889657824"
"3","50","50","4","4","40","71","138.48519800076895"
"2","50","50","4","4","40","69","127.56632064590542"
"4","50","50","4","4","40","70","130.56516724336794"
"7","50","50","4","4","40","70","124.5674740484429"
"6","50","50","4","4","40","70","136.639753940792"
"3","50","50","4","4","40","72","137.17800845828526"
"2","50","50","4","4","40","70","127.02806612841215"
"7","50","50","4","4","40","71","123.9523260284506"
"4","50","50","4","4","40","71","130.41138023836984"
"6","50","50","4","4","40","71","134.56362937331795"
"2","50","50","4","4","40","71","125.87466359092657"
"3","50","50","4","4","40","73","136.10149942329872"
"4","50","50","4","4","40","72","130.25759323337178"
"6","50","50","4","4","40","72","134.17916186082277"
"2","50","50","4","4","40","72","125.10572856593618"
"7","50","50","4","4","40","72","123.9523260284506"
"6","50","50","4","4","40","73","133.87158785082661"
"3","50","50","4","4","40","74","135.17877739331027"
"4","50","50","4","4","40","73","130.4882737408689"
"2","50","50","4","4","40","73","123.87543252595155"
"7","50","50","4","4","40","73","123.56785851595541"
"3","50","50","4","4","40","75","134.71741637831605"
"6","50","50","4","4","40","74","132.56439830834296"
"2","50","50","4","4","40","74","122.64513648596693"
"4","50","50","4","4","40","74","130.02691272587467"
"7","50","50","4","4","40","74","123.56785851595541"
"7","50","50","4","4","40","75","123.10649750096117"
"2","50","50","4","4","40","75","121.79930795847751"
"3","50","50","4","4","40","76","133.94848135332563"
"4","50","50","4","4","40","75","128.95040369088812"
"7","50","50","4","4","40","76","121.95309496347559"
"3","50","50","4","4","40","77","133.6409073433295"
"2","50","50","4","4","40","76","120.26143790849673"
"4","50","50","4","4","40","76","128.64282968089196"
"6","50","50","4","4","40","75","131.33410226835832"
"7","50","50","4","4","40","77","121.87620146097655"
"3","50","50","4","4","40","78","133.33333333333334"
"4","50","50","4","4","40","77","128.56593617839292"
"2","50","50","4","4","40","77","118.4159938485198"
"7","50","50","4","4","40","78","120.95347943098808"
"2","50","50","4","4","40","78","117.18569780853518"
"4","50","50","4","4","40","78","127.56632064590542"
"6","50","50","4","4","40","76","130.33448673587083"
"3","50","50","4","4","40","79","132.94886582083814"
"7","50","50","4","4","40","79","120.03075740099962"
"4","50","50","4","4","40","79","126.95117262591312"
"2","50","50","4","4","40","79","115.95540176855056"
"6","50","50","4","4","40","77","129.25797770088428"
"3","50","50","4","4","40","80","132.64129181084198"
"7","50","50","4","4","40","80","119.18492887351019"
"4","50","50","4","4","40","80","126.56670511341791"
"2","50","50","4","4","40","80","114.80199923106497"
"6","50","50","4","4","40","78","127.79700115340253"
"3","50","50","4","4","40","81","132.1030372933487"
"4","50","50","4","4","40","81","126.18223760092272"
"6","50","50","4","4","40","79","126.64359861591696"
"2","50","50","4","4","40","81","113.49480968858131"
"3","50","50","4","4","40","82","130.718954248366"
"7","50","50","4","4","40","81","118.72356785851595"
"4","50","50","4","4","40","82","126.25913110342177"
"6","50","50","4","4","40","80","125.7208765859285"
"3","50","50","4","4","40","83","129.41176470588235"
"2","50","50","4","4","40","82","112.64898116109188"
"4","50","50","4","4","40","83","126.10534409842369"
"7","50","50","4","4","40","82","117.95463283352557"
"1","50","50","4","4","40","6","106.57439446366782"
"3","50","50","4","4","40","84","128.79661668589003"
"2","50","50","4","4","40","83","111.80315263360247"
"7","50","50","4","4","40","83","116.95501730103807"
"4","50","50","4","4","40","84","126.25913110342177"
"2","50","50","4","4","40","84","110.57285659361784"
"3","50","50","4","4","40","85","127.95078815840061"
"4","50","50","4","4","40","85","125.64398308342945"
"7","50","50","4","4","40","84","116.4167627835448"
"2","50","50","4","4","40","85","110.18838908112265"
"4","50","50","4","4","40","86","125.25951557093425"
"3","50","50","4","4","40","86","126.64359861591696"
"7","50","50","4","4","40","85","116.10918877354864"
"2","50","50","4","4","40","86","109.41945405613225"
"3","50","50","4","4","40","87","126.41291810841984"
"4","50","50","4","4","40","87","124.49058054594387"
"6","50","50","4","4","40","81","124.87504805843906"
"7","50","50","4","4","40","86","115.0326797385621"
"3","50","50","4","4","40","88","125.64398308342945"
"4","50","50","4","4","40","88","123.79853902345252"
"2","50","50","4","4","40","87","109.11188004613611"
"7","50","50","4","4","40","87","114.49442522106882"
"2","50","50","4","4","40","88","108.18915801614763"
"3","50","50","4","4","40","89","125.18262206843522"
"6","50","50","4","4","40","82","123.02960399846214"
"4","50","50","4","4","40","89","123.26028450595925"
"3","50","50","4","4","40","90","124.64436755094195"
"7","50","50","4","4","40","88","114.18685121107266"
"4","50","50","4","4","40","90","123.33717800845828"
"2","50","50","4","4","40","89","107.26643598615917"
"6","50","50","4","4","40","83","122.72202998846598"
"3","50","50","4","4","40","91","124.49058054594387"
"4","50","50","4","4","40","91","123.1833910034602"
"7","50","50","4","4","40","89","112.64898116109188"
"2","50","50","4","4","40","90","106.11303344867359"
"6","50","50","4","4","40","84","122.1837754709727"
"4","50","50","4","4","40","92","123.10649750096117"
"7","50","50","4","4","40","90","112.11072664359861"
"3","50","50","4","4","40","92","123.41407151095733"
"2","50","50","4","4","40","91","104.959630911188"
"6","50","50","4","4","40","85","121.64552095347943"
"7","50","50","4","4","40","91","111.72625913110342"
"4","50","50","4","4","40","93","122.87581699346406"
"2","50","50","4","4","40","92","103.42176086120723"
"6","50","50","4","4","40","86","120.79969242599"
"7","50","50","4","4","40","92","111.03421760861207"
"3","50","50","4","4","40","93","122.5682429834679"
"4","50","50","4","4","40","94","121.49173394848135"
"6","50","50","4","4","40","87","120.1845444059977"
"2","50","50","4","4","40","93","102.19146482122261"
"4","50","50","4","4","40","95","120.1845444059977"
"7","50","50","4","4","40","93","110.88043060361399"
"3","50","50","4","4","40","94","121.56862745098039"
"6","50","50","4","4","40","88","118.95424836601308"
"3","50","50","4","4","40","95","121.56862745098039"
"7","50","50","4","4","40","94","110.03460207612457"
"2","50","50","4","4","40","94","100.96116878123799"
"4","50","50","4","4","40","96","118.4159938485198"
